Gene;Signature;Label;Class;Reference;DOI;Geneset_size;Description;Remark;use_ssgsea
IDO1;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"indoleamine 2,3-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:6059]";;TRUE
CXCL10;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]";;TRUE
HLA-DRA;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]";;TRUE
STAT1;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]";;TRUE
CD3D;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]";;TRUE
CIITA;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]";;TRUE
CD3E;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"CD3e molecule [Source:HGNC Symbol;Acc:HGNC:1674]";;TRUE
CCL5;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]";;TRUE
GZMK;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]";;TRUE
CD2;Ayers_IFNg_expanded_signature;Ayers IFN? exp;Signaling_pathway;Ayers et al. 2017;10.1172/JCI91190;18;"CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]";;TRUE
